"1,1,1-Trifluoroethane",Common Compounds
"1,3-Butadiene",Common Compounds
"1,4-Cyclohexadiene",Common Compounds
18-Crown-6,Common Compounds
1-propanol,Common Compounds
"2,2,4-Trimethylpentane",Common Compounds
"2,6-Di-tert-butylphenol",Common Compounds
"2,6-Lutidine",Common Compounds
2-butene,Common Compounds
4-methylcyclohexanol,Common Compounds
9-Fluorenone,Common Compounds
Acetic Acid,Acid
Acetic Anhydride,Common Compounds
Acetonitrile,Common Compounds
Acetophenone,Common Compounds
Acetyldioxidanyl,Common Compounds
Acetylene,Common Compounds
Acetylsalicylic Acid,Acid
Acetylsalicylic Acid (Aspirin),Common Compounds
Acrylonitrile,Common Compounds
Actinomycin D,Common Compounds
Acyclovir,Common Compounds
Adenosine,Common Compounds
Adipic Acid,Common Compounds
Adonitol,Common Compounds
AEX7050- CLONE 7E11,Antibody
AEX7055- CLONE 9H6,Antibody
AEX7056- CLONE 10C11,Antibody
AEX7057- CLONE 11F3,Antibody
AEX7059- CLONE 11C8,Antibody
Allyl Propyl Disulfide,Common Compounds
Aluminum Hydroxide,Bases
Ammonium Hydroxide,Bases
Anisole,Common Compounds
ANTI-ID G4723A CLONE 15E6E3 (RECOMBINANT),Antibody
ANTI-ID G4723A CLONE 1E4F2 (RECOMBINANT),Antibody
ANTI-ID_ G4723A (CD123) CLONE 1H9A10,Antibody
ANTI-ID_ G4723A (CD123) CLONE 20D11C3,Antibody
ANTI-ID_ G4723A (CD123) CLONE 2D9C9,Antibody
ANTI-ID_ G4723A (CD123) CLONE1E4F2,Antibody
Antimonic Acid,Acid
Antimonous Acid,Acid
Antipyrine,Common Compounds
Arsenic Acid,Acid
Arsenic Hydroxide,Bases
Ascorbic Acid,Acid
Aspartame,Common Compounds
Azelaic Acid,Acid
Barbital,Common Compounds
Barbituric Acid,Acid
Barium Hydroxide,Bases
Behenic Acid,Common Compounds
Benzaldehyde,Common Compounds
Benzene,Common Compounds
Benzil,Common Compounds
Benzilic Acid,Acid
Benzocaine,Common Compounds
Benzophenone,Common Compounds
Benzothiophene,Common Compounds
Benzyldimethylamine,Common Compounds
Benzylidene Acetone,Common Compounds
Beryllium Hydroxide,Bases
Biphenyl,Common Compounds
Bismuth(III) Hydroxide,Bases
Boric Acid,Acid
Boron Hydroxide,Bases
Bromic Acid,Acid
Bromous Acid,Acid
Butan-1-ol,Common Compounds
Butane,Common Compounds
Butyl Alcohol,Common Compounds
Cadaverine,Common Compounds
Cadmium Hydroxide,Bases
Caffeine,Common Compounds
Calcium Hydroxide,Bases
Capreomycin,Common Compounds
Carbonic Acid,Acid
Carbonous Acid,Acid
Carboxypolymethylene,Common Compounds
Carminic Acid,Common Compounds
Ceftriaxone,Common Compounds
Cellulose -x,Common Compounds
Cerium(III) Hydroxide,Bases
Cesium Hydroxide,Bases
Cetyl Alcohol,Common Compounds
CHIMERIC CD37-3,Antibody
Chloric Acid,Acid
Chlorous Acid,Acid
Cholesterol,Common Compounds
Chromic Acid,Acid
Chromium(II) Hydroxide,Bases
Chromium(III) Hydroxide,Bases
Chromium(V) Hydroxide,Bases
Chromium(VI) Hydroxide,Bases
Chromous Acid,Acid
Cinchonine,Common Compounds
Cinnamaldehyde,Common Compounds
Cinnamic Acid,Acid
Cinnamyl Alcohol,Common Compounds
Citral,Common Compounds
Citric Acid,Acid
Cobalt(II) Hydroxide,Bases
Cobalt(III) Hydroxide,Bases
Colistin,Common Compounds
Copper(I) Hydroxide,Bases
Copper(II) Hydroxide,Bases
Creatine,Common Compounds
